# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000002 02 01 00   174.30566092 173.31083100
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000002 02 02 00   142.23531609 282.78967300
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000004 02 01 00   142.72796196 141.10481900
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000004 02 02 00   143.94532199 284.17376000
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000004 04 01 00   152.73467501 151.21745000
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000004 04 02 00   145.43074602 287.50596800
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000004 04 04 00   173.36658310 674.53015600
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000008 01 01 00   161.33355393 159.32595700
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000008 04 01 00   177.99935504 174.81892600
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000008 04 04 00   172.36405703 670.28189000
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000008 08 01 00   182.04982897 178.50315600
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000008 08 02 00   169.26369111 331.36871000
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000008 08 04 00   172.50610404 670.02187400
