# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   001024 16 01 10   33.11902405 32.53003300
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   001024 16 16 10   110.45427103 381.94387000
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000016 16 01 10   40.04399590 38.77442300
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000016 16 16 10   165.70008790 629.16732100
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000032 16 01 10   40.04753589 39.21845100
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000032 16 16 10   165.83708906 628.94730600
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000064 16 01 10   42.06625312 41.73860900
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000064 16 16 10   169.73801699 639.61597400
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000128 16 01 10   40.54449803 39.87449200
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000128 16 16 10   195.86360202 700.73179300
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000256 16 01 10   43.69682396 43.33070800
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000256 16 16 10   216.43003799 725.08531500
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000512 16 01 10   44.62407700 44.21076300
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000512 16 16 10   216.63564103 730.24163700
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   001024 16 01 10   46.62391201 45.45084000
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   001024 16 16 10   221.22804389 744.04249900
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000001 01 01 10   83.18507704 60.13175800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000002 02 01 10   91.87877504 65.33608400
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000002 02 02 10   78.67032012 123.89574300
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000004 04 01 10   95.99387902 71.74048400
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000004 04 02 10   91.99514203 145.10106800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000004 04 04 10   79.72494904 311.85149000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000008 08 01 10   78.06207090 77.24482700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000008 08 02 10   76.56607496 150.89343000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000008 08 04 10   87.55486100 336.73304400
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000008 08 08 10   189.60343990 739.99024700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 01 10   87.85178311 87.17744800
